year,month,day_of_month,day_of_year,year_dec,frac_of_year,CO2
1988,2,7,37.4124999999867,1988.1025,0.102499999999964,351.22
1988,2,14,44.3839999999796,1988.1216,0.121599999999944,351.28
1988,2,21,51.3554999999724,1988.1407,0.140699999999924,352.23
1988,2,28,58.3269999999652,1988.1598,0.159799999999905,353.15
1988,3,6,65.3350000000319,1988.179,0.179000000000087,352.51
1988,3,13,72.3065000000247,1988.1981,0.198100000000068,352.06
1988,3,20,79.2780000000175,1988.2172,0.217200000000048,351.84
1988,3,27,86.2495000000104,1988.2363,0.236300000000028,353.04
1988,4,3,93.257499999994,1988.2555,0.255499999999984,353.31
1988,4,10,100.228999999987,1988.2746,0.274599999999964,353.44
1988,4,17,107.20049999998,1988.2937,0.293699999999944,353.62
1988,4,24,114.171999999973,1988.3128,0.312799999999925,354.54
1988,5,1,121.180000000039,1988.332,0.332000000000107,354.06
1988,5,8,128.151500000032,1988.3511,0.351100000000088,354.33
1988,5,15,135.123000000025,1988.3702,0.370200000000068,354.32
1988,5,22,142.094500000018,1988.3893,0.389300000000048,354.8
1988,5,29,149.102500000001,1988.4085,0.408500000000004,354.08
1988,6,5,156.073999999994,1988.4276,0.427599999999984,354.43
1988,6,12,163.045499999987,1988.4467,0.446699999999964,353.86
1988,6,19,170.01699999998,1988.4658,0.465799999999945,353.46
1988,6,26,177.024999999963,1988.485,0.4849999999999,353.43
1988,7,3,183.996500000039,1988.5041,0.504100000000108,352.95
1988,7,10,190.968000000032,1988.5232,0.523200000000088,353.11
1988,7,17,197.939500000025,1988.5423,0.542300000000068,353.02
1988,7,24,204.947500000009,1988.5615,0.561500000000024,352.1
1988,7,31,211.919000000001,1988.5806,0.580600000000004,350.98
1988,8,7,218.890499999994,1988.5997,0.599699999999984,350.91
1988,8,14,225.898499999978,1988.6189,0.61889999999994,350.23
1988,8,21,232.869999999971,1988.638,0.63799999999992,350.26
1988,8,28,239.841499999964,1988.6571,0.6570999999999,349.61
1988,9,4,246.813000000039,1988.6762,0.676200000000108,348.92
1988,9,11,253.821000000023,1988.6954,0.695400000000063,349.2
1988,9,18,260.792500000016,1988.7145,0.714500000000044,348.9
1988,9,25,267.764000000009,1988.7336,0.733600000000024,348.85
1988,10,2,274.735500000002,1988.7527,0.752700000000004,349.2
1988,10,9,281.743499999985,1988.7719,0.77189999999996,348.95
1988,10,16,288.714999999978,1988.791,0.79099999999994,349.54
1988,10,23,295.686499999971,1988.8101,0.81009999999992,349.69
1988,10,30,302.657999999964,1988.8292,0.829199999999901,350.01
1988,11,6,309.66600000003,1988.8484,0.848400000000083,350.1
1988,11,13,316.637500000023,1988.8675,0.867500000000064,350.38
1988,11,20,323.609000000016,1988.8866,0.886600000000044,350.78
1988,11,27,330.580500000009,1988.9057,0.905700000000024,350.83
1988,12,4,337.588499999993,1988.9249,0.92489999999998,351.11
1988,12,11,344.559999999985,1988.944,0.94399999999996,351.65
1988,12,18,351.531499999978,1988.9631,0.96309999999994,351.78
1988,12,25,358.502999999971,1988.9822,0.982199999999921,352.27
1989,1,1,0.511000000037711,1989.0014,0.00140000000010332,352.67
1989,1,8,7.48250000003054,1989.0205,0.0205000000000837,353.29
1989,1,15,14.4905000000142,1989.0397,0.0397000000000389,353.17
1989,1,22,21.4984999999979,1989.0589,0.0588999999999942,352.82
1989,1,29,28.5064999999815,1989.0781,0.0780999999999494,353.47
1989,2,5,35.5144999999652,1989.0973,0.0972999999999047,352.96
1989,2,12,42.486000000041,1989.1164,0.116400000000112,353.48
1989,2,19,49.4940000000247,1989.1356,0.135600000000068,353.76
1989,2,26,56.5020000000084,1989.1548,0.154800000000023,353.91
1989,3,5,63.509999999992,1989.174,0.173999999999978,353.77
1989,3,12,70.5179999999757,1989.1932,0.193199999999933,353.71
1989,3,19,77.4894999999685,1989.2123,0.212299999999914,354.19
1989,3,26,84.4975000000352,1989.2315,0.231500000000096,354.85
1989,4,2,91.5055000000189,1989.2507,0.250700000000052,354.81
1989,4,9,98.5135000000025,1989.2699,0.269900000000007,355.51
1989,4,16,105.484999999995,1989.289,0.288999999999987,356.15
1989,4,23,112.492999999979,1989.3082,0.308199999999943,356.39
1989,4,30,119.500999999963,1989.3274,0.327399999999898,355.83
1989,5,7,126.509000000029,1989.3466,0.34660000000008,355.67
1989,5,14,133.517000000013,1989.3658,0.365800000000036,356.18
1989,5,21,140.488500000006,1989.3849,0.384900000000016,356.06
1989,5,28,147.49649999999,1989.4041,0.404099999999971,356.21
1989,6,4,154.504499999973,1989.4233,0.423299999999927,355.64
1989,6,11,161.51250000004,1989.4425,0.442500000000109,355.53
1989,6,18,168.484000000033,1989.4616,0.461600000000089,355.05
1989,6,25,175.492000000016,1989.4808,0.480800000000045,355.08
1989,7,2,182.5,1989.5,0.5,354.77
1989,7,9,189.507999999984,1989.5192,0.519199999999955,354.48
1989,7,16,196.515999999967,1989.5384,0.538399999999911,353.62
1989,7,23,203.48749999996,1989.5575,0.557499999999891,353.33
1989,7,30,210.495500000027,1989.5767,0.576700000000073,353.3
1989,8,6,217.50350000001,1989.5959,0.595900000000029,352.69
1989,8,13,224.511499999994,1989.6151,0.615099999999984,352.01
1989,8,20,231.482999999987,1989.6342,0.634199999999964,350.74
1989,8,27,238.490999999971,1989.6534,0.65339999999992,350.8
1989,9,3,245.499000000037,1989.6726,0.672600000000102,351.03
1989,9,10,252.507000000021,1989.6918,0.691800000000057,349.44
1989,9,17,259.515000000005,1989.711,0.711000000000013,349.63
1989,9,24,266.486499999997,1989.7301,0.730099999999993,349.98
1989,10,1,273.494499999981,1989.7493,0.749299999999948,350.49
1989,10,8,280.502499999965,1989.7685,0.768499999999904,349.94
1989,10,15,287.510500000031,1989.7877,0.787700000000086,350.41
1989,10,22,294.482000000024,1989.8068,0.806800000000067,350.78
1989,10,29,301.490000000008,1989.826,0.826000000000022,350.52
1989,11,5,308.497999999992,1989.8452,0.845199999999977,351.39
1989,11,12,315.505999999975,1989.8644,0.864399999999932,351.71
1989,11,19,322.513999999959,1989.8836,0.883599999999888,351.9
1989,11,26,329.485500000035,1989.9027,0.902700000000095,352.11
1989,12,3,336.493500000018,1989.9219,0.921900000000051,352.36
1989,12,10,343.501500000002,1989.9411,0.941100000000006,353.14
1989,12,17,350.509499999986,1989.9603,0.960299999999961,352.95
1989,12,24,357.517499999969,1989.9795,0.979499999999916,353.03
1989,12,31,364.488999999962,1989.9986,0.998599999999897,353.72
1990,1,7,6.49700000002895,1990.0178,0.0178000000000793,353.58
1990,1,14,13.5050000000126,1990.037,0.0370000000000346,353.99
1990,1,21,20.5129999999963,1990.0562,0.0561999999999898,353.92
1990,1,28,27.4844999999891,1990.0753,0.0752999999999702,354.39
1990,2,4,34.4924999999728,1990.0945,0.0944999999999254,355.04
1990,2,11,41.5005000000394,1990.1137,0.113700000000108,355.09
1990,2,18,48.5085000000231,1990.1329,0.132900000000063,355.42
1990,2,25,55.5165000000068,1990.1521,0.152100000000019,355.18
1990,3,4,62.4879999999996,1990.1712,0.171199999999999,355.59
1990,3,11,69.4959999999833,1990.1904,0.190399999999954,355.79
1990,3,18,76.5039999999669,1990.2096,0.209599999999909,355.54
1990,3,25,83.5120000000336,1990.2288,0.228800000000092,356.13
1990,4,1,90.4835000000264,1990.2479,0.247900000000072,356.27
1990,4,8,97.4915000000101,1990.2671,0.267100000000028,356.17
1990,4,15,104.499499999994,1990.2863,0.286299999999983,356.23
1990,4,22,111.507499999977,1990.3055,0.305499999999938,356.87
1990,4,29,118.515499999961,1990.3247,0.324699999999893,356.96
1990,5,6,125.487000000037,1990.3438,0.343800000000101,357.7
1990,5,13,132.495000000021,1990.363,0.363000000000056,357.25
1990,5,20,139.503000000004,1990.3822,0.382200000000012,357.33
1990,5,27,146.510999999988,1990.4014,0.401399999999967,357.38
1990,6,3,153.482499999981,1990.4205,0.420499999999947,356.98
1990,6,10,160.490499999964,1990.4397,0.439699999999903,356.25
1990,6,17,167.498500000031,1990.4589,0.458900000000085,356.18
1990,6,24,174.506500000015,1990.4781,0.47810000000004,355.79
1990,7,1,181.514499999998,1990.4973,0.497299999999996,356.22
1990,7,8,188.485999999991,1990.5164,0.516399999999976,354.99
1990,7,15,195.493999999975,1990.5356,0.535599999999931,354.29
1990,7,22,202.501999999959,1990.5548,0.554799999999886,354.37
1990,7,29,209.510000000025,1990.574,0.574000000000069,353.99
1990,8,5,216.518000000009,1990.5932,0.593200000000024,353.17
1990,8,12,223.489500000002,1990.6123,0.612300000000005,353.46
1990,8,19,230.497499999985,1990.6315,0.63149999999996,353.08
1990,8,26,237.505499999969,1990.6507,0.650699999999915,351.8
1990,9,2,244.513500000036,1990.6699,0.669900000000098,351.16
1990,9,9,251.485000000029,1990.689,0.689000000000078,350.86
1990,9,16,258.493000000012,1990.7082,0.708200000000033,351.75
1990,9,23,265.500999999996,1990.7274,0.727399999999989,351.46
1990,9,30,272.50899999998,1990.7466,0.746599999999944,351.4
1990,10,7,279.516999999963,1990.7658,0.765799999999899,351.54
1990,10,14,286.488500000039,1990.7849,0.784900000000107,351.57
1990,10,21,293.496500000023,1990.8041,0.804100000000062,351.73
1990,10,28,300.504500000006,1990.8233,0.823300000000017,352.4
1990,11,4,307.51249999999,1990.8425,0.842499999999973,352.71
1990,11,11,314.483999999983,1990.8616,0.861599999999953,353.15
1990,11,18,321.491999999967,1990.8808,0.880799999999908,353.45
1990,11,25,328.500000000033,1990.9,0.900000000000091,353.69
1990,12,2,335.508000000017,1990.9192,0.919200000000046,353.9
1990,12,9,342.516000000001,1990.9384,0.938400000000001,354.47
1990,12,16,349.487499999993,1990.9575,0.957499999999982,354.34
1990,12,23,356.495499999977,1990.9767,0.976699999999937,354.83
1990,12,30,363.503499999961,1990.9959,0.995899999999892,354.8
1991,1,6,5.51150000002735,1991.0151,0.0151000000000749,354.59
1991,1,13,12.4830000000202,1991.0342,0.0342000000000553,355.02
1991,1,20,19.4910000000039,1991.0534,0.0534000000000106,354.94
1991,1,27,26.4989999999875,1991.0726,0.0725999999999658,355.6
1991,2,3,33.5069999999712,1991.0918,0.0917999999999211,355.33
1991,2,10,40.5150000000378,1991.111,0.111000000000104,355.89
1991,2,17,47.4865000000307,1991.1301,0.130100000000084,356.55
1991,2,24,54.4945000000143,1991.1493,0.149300000000039,355.84
1991,3,3,61.502499999998,1991.1685,0.168499999999995,357.19
1991,3,10,68.5104999999817,1991.1877,0.18769999999995,357.77
1991,3,17,75.4819999999745,1991.2068,0.20679999999993,357.27
1991,3,24,82.4900000000412,1991.226,0.226000000000113,357.49
1991,3,31,89.4980000000248,1991.2452,0.245200000000068,358.46
1991,4,7,96.5060000000085,1991.2644,0.264400000000023,358.07
1991,4,14,103.513999999992,1991.2836,0.283599999999979,358.75
1991,4,21,110.485499999985,1991.3027,0.302699999999959,359.36
1991,4,28,117.493499999969,1991.3219,0.321899999999914,359.29
1991,5,5,124.501500000035,1991.3411,0.341100000000097,358.97
1991,5,12,131.509500000019,1991.3603,0.360300000000052,359.45
1991,5,19,138.517500000003,1991.3795,0.379500000000007,359.76
1991,5,26,145.488999999995,1991.3986,0.398599999999988,358.84
