year,sit,bhvr,id
2015,20150511906,MI-FE,266
2015,20150512901,RE-TR,269
2015,20150513904,MI-FE,55
2015,20150515903,MI-FE,269
2015,20150516903,MI-FE,9
2015,20150516905,MI-FE,55
2015,20150516908,MI-FE,269
2015,20150518902,RE-TR,269
2015,20150520901,MI-FE,269
2015,20150521902,TR,256
2015,20150521903,MI-FE,442
2015,20150521902,MI-FE,256
2015,20150521901,MI-FE,269
2015,20150522901,RE-TR,256
2015,20150523905,BNF,16
2015,20150523905,BNF,96
2015,20150523905,BNF,339
2015,20150523906,RE-TR,147
2015,20150523908,MI-FE,266
2015,20150524906,TR,447
2015,20150524909,TR,447
2015,20150525907,ROBUST,447
2015,20150526910,TR,55
2015,20150526910,TR,58
2015,20150527905,RE-TR,270
2015,20150528904,TR,261
2015,20150528912,TR,96
2015,20150528901,TR,270
2015,20150528913,TR,442
2015,20150529901,MI-FE,270
2015,20150601903,TR,269
2015,20150603901,MI-FE,336
2015,20150603901,MI-FE,269
2015,20150603904,MI-FE,447
2015,20150605902,TR,269
2015,20150606904,MI-FE,269
2015,20150606905,MI-FE,227
2015,20150608902,RE,442
2015,20150609901,TR,138
2015,20150609903,RE-TR,442
2015,20150609908,TR,227
2015,20150610902,MI-FE,410
2015,20150610903,TR,269
2015,20150610904,MI-FE,442
2015,20150612901,RE-TR,405
2015,20150613901,MI-FE,395
2015,20150613901,MI-FE,172
2015,20150615902,MI-FE,269
2015,20150616901,MI-FE,269
2015,20150618901,TR,269
2015,20150624902,TR,196
2015,20150709903,TR,270
2015,20150710901,RE-TR,270
2015,20150710902,RE-TR,339
2015,20150710903,TR,337
2015,20150711901,MI-FE,445
2015,20150712903,MI-FE,190
2015,20150713901,TR,24
2015,20150713901,TR,355
2015,20150713913,TR,413
2015,20150713913,TR,74
2015,20150714901,TR,197
2015,20150714901,TR,124
2015,20150716901,ROBUST,442
2015,20150718904,TR,56
2015,20150718907,MI-FE,58
2015,20150719905,MI-FE-SG,447
2015,20150719905,MI-FE-SG,79
2015,20150719905,MI-FE-SG,442
2015,20150719905,MI-FE-SG,124
2015,20150719905,MI-FE-SG,413
2015,20150719905,MI-FE-SG,388
2015,20150719911,TR,28
2015,20150720903,MI-FE,447
2015,20150721901,TR,363
2015,20150721901,TR,140
2015,20150721901,TR,147
2015,20150721905,TR,67
2015,20150721905,MI-FE,58
2015,20150721905,MI-FE,108
2015,20150723901,MI-FE,140
2015,20150723907,MI-FE,445
2015,20150724903,TR,114
2015,20150726901,MI-FE,355
2015,20150726901,MI-FE,103
2015,20150726902,MI-FE,448
2015,20150726902,MI-FE,108
2015,20150726905,MI-FE,405
2015,20150726908,MI-FE,140
2015,20150729901,TR,442
2015,20150731902,TR,106
2015,20150802901,LF,147
2015,20150802905,TR,190
2015,20150803902,TR,180
2015,20150803908,BNF,190
2015,20150803908,BNF,68
2015,20150803910,TR,56
2015,20150804902,MI-FE,180
2015,20150804902,MI-FE,190
2015,20150805901,RE-TR,201
2015,20150805901,RE-TR,238
2015,20150805902,TR,168
2015,20150805901,TR,201
2015,20150806905,RE-TR,395
2015,20150806909,TR,256
2015,20150809904,MI-FE,9
2015,20150810908,TR,421
2015,20150810910,TR,9
2015,20150810910,TR,68
2015,20150811906,TR,151
2015,20150811908,MI-FE,363
2015,20150811909,TR,421
2015,20150812902,TR,114
2015,20150812903,TR,43
2015,20150813906,SG-SL,256
2015,20150814903,TR,147
2015,20150817903,ROBUST,151
2015,20150818903,TR,363
2015,20150818904,MI-FE,256
2015,20150819903,MI-FE,413
2015,20150821901,ROBUST,389
2015,20150821901,TR,256
2015,20150823902,MI-FE,78
2015,20150823902,MI-FE,256
2015,20150824901,TR,256
2015,20150826902,SG-TR,56
2015,20150826902,SG-TR,106
2015,20150829906,TR,336
2015,20150829909,TR,105
2015,20150830905,TR,147
2015,20150903904,TR,261
2015,20150905902,BNF,118
2015,20150905902,BNF,11
2015,20150905902,BNF,59
2015,20150905902,BNF,435
2015,20150905903,TR,180
2015,20150905903,TR,436
2015,20150905904,TR,389
2015,20150908901,BNF,103
