id,species,behavior,prey.volume,prey.depth,dive.time,surface.time,blow.interval,blow.number
20150610116,HW,FEED,7.364615536,69.66,164.5,65.5,16.2,4.5
20150610118,HW,OTHER,7.567751592,67.5,NaN,136,14.429,10
20150612101,HW,FEED,5.601229496,74.16,328,79.5,13.334,6.5
20150612102,HW,FEED,4.842528231,102.66,439,143.5,16.011,9.75
20150613105,HW,OTHER,4.601786468,133,34.333,155.75,27.591,6.25
20150613107,HW,FEED,7.257606544,65.94,446.5,90.75,18.474,5.75
20150613108,HW,FEED,7.361865144,53.79,136.959,27.062,12.225,2.688
20150613110,HW,FEED,7.750507839,66.98,350,94,17.7,6
20150614101,HW,FEED,5.170845293,75.91,266,129.5,21.4,5
20150617201,HW,OTHER,-1,NA,80.75,14.75,40.8,1.25
20150617202,HW,OTHER,-1,NA,188,99,33,4
20150621201,HW,OTHER,7.973462175,87.29,42,61.5,26.75,3
20150621202,HW,FEED,6.658931931,60.87,349,126,17.222,7
20150621203,FW,FEED,6.662867399,60.3,360,NaN,NaN,NaN
20150621204,HW,OTHER,7.543966486,88.08,NaN,108,18.85,6
20150621205,FW,OTHER,8.047248888,60.71,348.5,75.5,14.077,6
20150621206,HW,FEED,8.258352641,64.93,332,111.667,13,9.333
20150621207,HW,FEED,7.377689468,58.88,368,103,19.4,5
20150621208,HW,FEED,7.632234543,60.12,228,74,13,7
20150621209,HW,FEED,8.497466004,75.26,430,121.5,17.091,8.5
20150621210,HW,FEED,8.48796432,74.27,355,99.5,13.133,8.5
20150621211,FW,FEED,7.86681427,95.04,367.5,119.667,15.455,7.5
20150621212,HW,FEED,7.77702002,72.38,593,109,14.975,7.5
20150621213,HW,OTHER,0.657934425,NA,371,148,30.556,7
20150621214,HW,OTHER,6.573854733,129.25,NaN,NaN,32,NaN
20150621216,HW,OTHER,5.776347757,113.75,430,142.667,17.917,8.667
20150621220,HW,OTHER,7.177643628,111.66,NaN,NaN,15.222,NaN
20150621221,HW,OTHER,7.501737655,109.77,NaN,NaN,42,1
20150621223,HW,FEED,6.437188451,94.52,341,154,17.786,10
20150621224,HW,OTHER,6.699346387,97.28,NaN,NaN,35.333,NaN
20150622203,HW,OTHER,3.266503409,91.46,NaN,22,NaN,1
20150623201,HW,OTHER,5.182134612,31.97,NaN,83,15,6
20150624201,HW,OTHER,3.19644615,114.5,243,18,NaN,1
20150624202,HW,OTHER,2.12639669,100.89,NaN,NaN,NaN,NaN
20150624204,HW,OTHER,1.412278822,NA,193,37,18.667,2.5
20150626201,HW,FEED,6.782316765,82.15,489,129.5,16.4,8.5
20150626202,HW,FEED,6.921984364,103.78,398.5,180.5,19.429,10.5
20150626203,HW,FEED,7.077287061,79.7,212.5,75,13,5
20150626206,HW,FEED,6.904394939,86.62,208.5,67.167,14.556,5.167
20150627204,HW,FEED,4.95152698,141.24,496,74,23.5,3.5
20150627212,FW,FEED,6.557206674,162.26,549.833,171.333,17.829,10.4
20150628201,HW,OTHER,2.214387558,69.09,NaN,NaN,58.75,NaN
20150629203,HW,FEED,3.532886245,80.38,193.444,89.75,14.067,4.5
20150629204,HW,OTHER,-1,NA,161,53,23.5,3
20150701201,HW,FEED,2.534442568,218.23,255,76,21.1,4.333
20150701202,HW,FEED,4.889785812,156.16,419.5,201,21.091,13
20150704201,HW,OTHER,-1,NA,81,20,13.5,2
20150704203,HW,FEED,6.84396613,125.72,558,278,21.68,13.5
20150704205,HW,OTHER,1.984471304,176.03,124.5,10,37.667,2.5
20150705202,HW,OTHER,6.1172292,137.23,311,328,25.909,13
20150705204,HW,OTHER,7.417534215,129.46,NaN,NaN,NaN,NaN
20150706201,HW,OTHER,6.64606072,88.59,NaN,91,16.2,7
20150707202,HW,FEED,NA,NA,146.584,46.166,33.333,2
20150707205,HW,FEED,3.312868774,85.53,104.667,71.333,67.6,1.667
20150707206,HW,FEED,-1,NA,272,124,27.6,5
20150707207,HW,OTHER,NA,NA,NaN,NaN,31,6
20150707208,HW,OTHER,NA,NA,NaN,NaN,40.6,NaN
20150707209,HW,OTHER,5.777530954,154.76,149.5,48,36.534,3
20150707212,HW,FEED,7.095123994,157.61,173,NaN,30.5,2
20150707214,HW,OTHER,6.191783999,126.58,NaN,160,33.714,4
20150707215,HW,FEED,6.297542007,136.63,204,58,30.666,2.25
20150707217,HW,FEED,5.119453226,139.37,310,NaN,NaN,NaN
20150707220,HW,FEED,6.715640444,125.28,29.5,43,19.8,2.667
20150708202,HW,OTHER,6.816309393,162.17,135.75,82.75,18.822,5.25
20150708203,HW,FEED,-1,NA,216,125,21.636,6.5
20150712302,HW,FEED,6.421308723,147.49,NaN,123,16.857,10
20150713302,HW,FEED,7.315968807,154.46,517,246.5,19.5,14
20150713304,FW,FEED,7.364726732,154.35,419.917,144.709,17.505,9.666
20150713305,FW,FEED,5.35374687,140.97,NaN,NaN,27,NaN
20150713310,HW,OTHER,-0.071496002,NA,273,46,27.667,2.5
20150713312,HW,FEED,4.282983622,80.98,222,183,25.571,8.5
20150714302,HW,OTHER,5.970894936,104.54,126.5,56.125,36.952,2.667
20150714309,HW,OTHER,5.115088999,118.52,NaN,NaN,NaN,NaN
20150714316,HW,FEED,0.87887958,NA,197,121,29.5,5
20150715301,HW,OTHER,5.026035434,104.06,364,146,40.2,7
20150718302,HW,FEED,6.297294754,147.89,520,NaN,17.556,NaN
20150718303,HW,OTHER,3.066614692,155.19,501,269,19.444,14.5
20150718304,HW,FEED,7.34538892,154.66,NaN,140,17.667,10
20150718305,HW,FEED,5.92732408,151.79,NaN,140,19.667,9
20150718308,HW,FEED,6.030760738,139.19,NaN,NaN,15.625,NaN
20150718309,HW,FEED,4.88623315,133.78,NaN,167,22.5,11
20150718310,HW,FEED,5.396541932,126.37,357.667,150.667,15.048,10.667
20150721303,HW,OTHER,1.614584645,112.73,251.25,120.416,24.982,4.75
20150721304,HW,OTHER,-1,NA,NaN,NaN,57,NaN
20150721311,HW,OTHER,-1,NA,176,40.333,18.8,2.667
20150721312,HW,OTHER,-1,NA,433,NaN,NaN,NaN
20150721316,HW,OTHER,1.518352794,95.98,215,271,33.118,7
20150723304,HW,OTHER,4.52787869,134.39,NaN,NaN,45.559,NaN
20150723306,HW,OTHER,2.724231902,125.35,NaN,NaN,30.909,NaN
20150723307,HW,OTHER,3.867220181,129.25,260.5,31,21,2
20150723308,HW,OTHER,3.849117284,130.6,NaN,NaN,71,3
20150725301,HW,OTHER,NA,NA,NaN,145,34.452,5.667
20150725306,HW,OTHER,NA,NA,NaN,NaN,NaN,NaN
20150725307,HW,FEED,NA,NA,291.333,127,16.362,8.333
20150726302,HW,FEED,5.60165746,26.43,89.5,69.2,NaN,1
20150726311,FW,OTHER,2.302965021,78.28,333,NaN,27.143,NaN
20150726316,HW,FEED,4.264630087,107.7,392.917,162.666,19.024,9.25
20150729307,FW,FEED,6.747812323,151.09,482.75,181.25,18.389,11.25
20150729308,HW,FEED,5.01131906,118.35,438,203.5,14.267,15
20150729309,FW,FEED,5.808198945,105.05,412.875,149.8,15.927,10.2
20150729310,FW,OTHER,4.788573657,112.89,275,73,16.545,4
20150729311,HW,FEED,5.074643675,118.86,159.5,168,34.125,5.5
20150731301,HW,FEED,5.182644977,48.33,335.5,97,21,5
20150731302,HW,FEED,4.326064564,95.73,181,84.5,24.5,5
20150802402,HW,OTHER,3.844724412,101.82,204.333,61,24.714,3.333
20150802403,HW,OTHER,7.389999189,134.65,191,96,28.833,4
20150802404,HW,OTHER,7.665289688,137.18,156,76.5,35.715,3.5
20150802405,HW,FEED,5.744663667,119.04,174,66,37.667,2.5
20150802406,HW,OTHER,5.186325467,120.03,NaN,NaN,32,NaN
20150802407,HW,FEED,5.954719128,93.97,358,158,18.562,9
20150802408,HW,FEED,5.821849026,113.78,219,122.5,20.636,6.5
20150802409,HW,FEED,7.90812172,128.83,455,381.5,23.084,17
20150802410,HW,FEED,8.326912589,130.01,NaN,174,27.806,9
20150802411,HW,OTHER,4.539313463,152.51,NaN,209,27.6,7
20150802413,HW,OTHER,3.101995881,162.78,184.5,145,34.977,5
20150803401,HW,FEED,-1,NA,118.041,24.666,20.334,2
20150803403,HW,FEED,7.651257351,89.65,242.5,112,18.364,7
20150803411,HW,OTHER,7.26486138,85.72,296,72,13.8,6
20150805402,HW,OTHER,-1,NA,NaN,183,57.333,4
20150805407,HW,OTHER,4.534893634,126.97,NaN,333,46.286,8
20150805408,HW,FEED,-1,NA,452,121,14,10
